#,,,This the actual injection volume on the column,,,,Relic from BMIS for pooled full and half,A dilution factor of 2 is a 1 to 1 dilution of sample to water
Sample.Name,Notes,Column,uLonColumn,Fraction,Sample.Group,Treatment.Group,Inj.vol,Dilution.Factor
190715_Blk_Blk_1,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Blk_Blk_2,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Blk_Blk_3,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Std_H2OinMatrix_1,made up using FatAs smp,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Std_4uMStdsMix1InH2O_1,made up using FatAs smp,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Std_4uMStdsMix2InH2O_1,made up using FatAs smp,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Std_4uMStdsMix1InMatrix_1,made up using FatAs smp,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Std_4uMStdsMix2InMatrix_1,made up using FatAs smp,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Blk_Blk_4,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Blk_Blk_5,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Smp_KelpA,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Smp_KelpB,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Smp_KelpC,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Smp_KelpD,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Blk_Blk_5a,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,
190715_Poo_QC-KM1906_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_Half1,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_Full1,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Blk_Blk_6,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_KM1906S6C31000-Blk_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C28D15_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_7,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D1000_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D500_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_8,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D125_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D400_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_9,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D125_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D40_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_10,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_KM1906S6C31000-Blk_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C28D15_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_11,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906U12_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D1000_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_12,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D125_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D300_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_13,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D115_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D400_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_13a,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D1000_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D75_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_14,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_KM1906U14-Blk_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906U12_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_15,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D400_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906U13_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_16,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_QC-KM1906_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_Half2,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_TruePooKM1906_Full2,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,2,1
190715_Blk_Blk_16a,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C28D15_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
