"","Replicate.Name","Precursor.Ion.Name","Area","Background","Signal.to.Noise"
"1","180205_Poo_Sept29QC_1","O-Acetylcarnitine",9235865,1271455,7.26401248962802
"2","180205_Poo_Sept29QC_2","O-Acetylcarnitine",7620397,1729707,4.40559990796129
"3","180205_Poo_Sept29QC_3","O-Acetylcarnitine",7714257,1143670,6.7451773675973
"4","180205_Poo_Sept29QC_4","O-Acetylcarnitine",7936353,1174848,6.75521684507272
"5","180205_Poo_TruePoo_Full1","O-Acetylcarnitine",23280266,973191,23.9215796282539
"6","180205_Poo_TruePoo_Full2","O-Acetylcarnitine",22073188,1906852,11.5757216606218
"7","180205_Poo_TruePoo_Full3","O-Acetylcarnitine",22741946,1164434,19.5304723153051
"8","180205_Poo_TruePoo_Half1","O-Acetylcarnitine",12621929,1127932,11.1903279630332
"9","180205_Poo_TruePoo_Half2","O-Acetylcarnitine",10822460,2347888,4.60944474353121
"10","180205_Poo_TruePoo_Half3","O-Acetylcarnitine",11224949,855786,13.1165373118981
"11","180205_Smp_L1C32DCMless10m_A","O-Acetylcarnitine",18193688,1039012,17.5105658067472
"12","180205_Smp_L1C32DCMless10m_B","O-Acetylcarnitine",17119876,1086490,15.7570488453644
"13","180205_Smp_L1C32DCMless10m_C","O-Acetylcarnitine",23137940,288879,80.0956109651446
"14","180205_Smp_L1C32DCMless20m_A","O-Acetylcarnitine",14169928,977119,14.5017423671017
"15","180205_Smp_L1C32DCMless20m_B","O-Acetylcarnitine",31756450,0,Inf
"16","180205_Smp_L1C32DCMless20m_C","O-Acetylcarnitine",28675170,0,Inf
"17","180205_Smp_L1C33DCM_A","O-Acetylcarnitine",16532565,1061327,15.5772584698213
"18","180205_Smp_L1C33DCM_B","O-Acetylcarnitine",38313512,230631,166.124727378366
"19","180205_Smp_L1C33DCM_C","O-Acetylcarnitine",13739341,935257,14.6904444446821
"20","180205_Smp_L1C33DCMplus10m_A","O-Acetylcarnitine",18834128,1191467,15.8075112445414
"21","180205_Smp_L1C33DCMplus10m_B","O-Acetylcarnitine",26547740,87990,301.713149221502
"22","180205_Smp_L1C33DCMplus10m_C","O-Acetylcarnitine",20711856,865330,23.9352108444177
"23","180205_Smp_L1C33DCMplus20m_A","O-Acetylcarnitine",17166394,1318299,13.0216240776941
"24","180205_Smp_L1C33DCMplus20m_B","O-Acetylcarnitine",16018757,1106340,14.4790543594193
"25","180205_Smp_L1C33DCMplus20m_C","O-Acetylcarnitine",18409270,866459,21.2465563863957
"26","180205_Smp_L2C1DCMless10m_A","O-Acetylcarnitine",23089018,1915704,12.0524976718742
