"","Replicate.Name","Precursor.Ion.Name","Area"
"1","180205_Poo_Sept29QC_1","O-Acetylcarnitine",9235865
"2","180205_Poo_Sept29QC_2","O-Acetylcarnitine",7620397
"3","180205_Poo_Sept29QC_3","O-Acetylcarnitine",7714257
"4","180205_Poo_Sept29QC_4","O-Acetylcarnitine",7936353
"5","180205_Poo_TruePoo_Full1","O-Acetylcarnitine",23280266
"6","180205_Poo_TruePoo_Full2","O-Acetylcarnitine",22073188
"7","180205_Poo_TruePoo_Full3","O-Acetylcarnitine",22741946
"8","180205_Poo_TruePoo_Half1","O-Acetylcarnitine",12621929
"9","180205_Poo_TruePoo_Half2","O-Acetylcarnitine",10822460
"10","180205_Poo_TruePoo_Half3","O-Acetylcarnitine",11224949
"11","180205_Smp_L1C32DCMless10m_A","O-Acetylcarnitine",18193688
"12","180205_Smp_L1C32DCMless10m_B","O-Acetylcarnitine",17119876
"13","180205_Smp_L1C32DCMless10m_C","O-Acetylcarnitine",23137940
"14","180205_Smp_L1C32DCMless20m_A","O-Acetylcarnitine",14169928
"15","180205_Smp_L1C32DCMless20m_B","O-Acetylcarnitine",31756450
"16","180205_Smp_L1C32DCMless20m_C","O-Acetylcarnitine",28675170
"17","180205_Smp_L1C33DCM_A","O-Acetylcarnitine",16532565
"18","180205_Smp_L1C33DCM_B","O-Acetylcarnitine",38313512
"19","180205_Smp_L1C33DCM_C","O-Acetylcarnitine",13739341
"20","180205_Smp_L1C33DCMplus10m_A","O-Acetylcarnitine",18834128
"21","180205_Smp_L1C33DCMplus10m_B","O-Acetylcarnitine",26547740
"22","180205_Smp_L1C33DCMplus10m_C","O-Acetylcarnitine",20711856
"23","180205_Smp_L1C33DCMplus20m_A","O-Acetylcarnitine",17166394
"24","180205_Smp_L1C33DCMplus20m_B","O-Acetylcarnitine",16018757
"25","180205_Smp_L1C33DCMplus20m_C","O-Acetylcarnitine",18409270
"26","180205_Smp_L2C1DCMless10m_A","O-Acetylcarnitine",23089018
"27","180205_Smp_L2C1DCMless10m_B","O-Acetylcarnitine",15387718
"28","180205_Smp_L2C1DCMless10m_C","O-Acetylcarnitine",15480859
"29","180205_Smp_L2C1DCMless20m_A","O-Acetylcarnitine",14747925
