"","Description","Value","Replicate.Name","Retention.Time","Area","Area.with.QC","Precursor.Ion.Name","Background","Height","Mass.Error.PPM","all.Flags","RT.Flag","blank.Flag","height.min.Flag","overloaded.Flag","area.min.Flag","SN.Flag"
"1","2021-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Hello! Welcome to the world of Skyline QE Quality Control! ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Maximum height for a real peak: ",100000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Minimum height for a real peak: ",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Maximum area for a real peak: ",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","RT flexibility: ",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Blank can be this fraction of a sample: ",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","S/N ratio: ",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Processed on: ",1609874476.29217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,"180205_Std_4uMStdsInH2O_1",7.46,3183409408,3183409408,"O-Acetylcarnitine",36679612,132830464,-2.8,"overloaded.Flag",NA,NA,NA,"overloaded.Flag",NA,NA
"11",NA,NA,"180205_Std_4uMStdsInH2O_2",7.36,2638594304,2638594304,"O-Acetylcarnitine",31567094,109837736,-3.3,"overloaded.Flag",NA,NA,NA,"overloaded.Flag",NA,NA
"12",NA,NA,"180205_Std_4uMStdsInMatrix_1",7.45,2546998784,2546998784,"O-Acetylcarnitine",33088796,110455528,-2.5,"overloaded.Flag",NA,NA,NA,"overloaded.Flag",NA,NA
"13",NA,NA,"180205_Std_4uMStdsInMatrix_2",7.38,2584742912,2584742912,"O-Acetylcarnitine",30016288,111946136,-3.5,"overloaded.Flag",NA,NA,NA,"overloaded.Flag",NA,NA
"14",NA,NA,"180205_Blk_MQBlk_1",7.16,29775,29775,"O-Acetylcarnitine",173480,8854,3.6,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"15",NA,NA,"180205_Blk_MQBlk_2",7.36,99070,99070,"O-Acetylcarnitine",225491,18792,3.4,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"16",NA,NA,"180205_Blk_MQBlk_3",7.23,98028,98028,"O-Acetylcarnitine",323145,13507,3.8,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"17",NA,NA,"180205_Blk_SWBlk_1",7.46,852937,852937,"O-Acetylcarnitine",958718,33177,0.2,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,"180205_Blk_SWBlk_2",7.17,23590,23590,"O-Acetylcarnitine",192214,5432,3.8,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"19",NA,NA,"180205_Blk_SWBlk_3",7.26,41062,41062,"O-Acetylcarnitine",185546,8025,3.4,"blank.Flag",NA,"blank.Flag",NA,NA,NA,NA
"20",NA,NA,"180205_Poo_Sept29QC_1",7.42,9235865,9235865,"O-Acetylcarnitine",1271455,474214,-1.8,NA,NA,NA,NA,NA,NA,NA
