"","Replicate.Name","Precursor.Ion.Name","Height"
"1","180205_Poo_Sept29QC_1","O-Acetylcarnitine",474214
"2","180205_Poo_Sept29QC_2","O-Acetylcarnitine",398706
"3","180205_Poo_Sept29QC_3","O-Acetylcarnitine",400905
"4","180205_Poo_Sept29QC_4","O-Acetylcarnitine",397787
"5","180205_Poo_TruePoo_Full1","O-Acetylcarnitine",1022641
"6","180205_Poo_TruePoo_Full2","O-Acetylcarnitine",1028565
"7","180205_Poo_TruePoo_Full3","O-Acetylcarnitine",1004886
"8","180205_Poo_TruePoo_Half1","O-Acetylcarnitine",506056
"9","180205_Poo_TruePoo_Half2","O-Acetylcarnitine",488494
"10","180205_Poo_TruePoo_Half3","O-Acetylcarnitine",497777
"11","180205_Smp_L1C32DCMless10m_A","O-Acetylcarnitine",841348
"12","180205_Smp_L1C32DCMless10m_B","O-Acetylcarnitine",817585
"13","180205_Smp_L1C32DCMless10m_C","O-Acetylcarnitine",995143
"14","180205_Smp_L1C32DCMless20m_A","O-Acetylcarnitine",639687
"15","180205_Smp_L1C32DCMless20m_B","O-Acetylcarnitine",1427746
"16","180205_Smp_L1C32DCMless20m_C","O-Acetylcarnitine",1304700
"17","180205_Smp_L1C33DCM_A","O-Acetylcarnitine",821392
"18","180205_Smp_L1C33DCM_B","O-Acetylcarnitine",1707052
"19","180205_Smp_L1C33DCM_C","O-Acetylcarnitine",603890
"20","180205_Smp_L1C33DCMplus10m_A","O-Acetylcarnitine",860165
"21","180205_Smp_L1C33DCMplus10m_B","O-Acetylcarnitine",1234482
"22","180205_Smp_L1C33DCMplus10m_C","O-Acetylcarnitine",925942
"23","180205_Smp_L1C33DCMplus20m_A","O-Acetylcarnitine",852530
"24","180205_Smp_L1C33DCMplus20m_B","O-Acetylcarnitine",844393
"25","180205_Smp_L1C33DCMplus20m_C","O-Acetylcarnitine",832437
"26","180205_Smp_L2C1DCMless10m_A","O-Acetylcarnitine",1088790
"27","180205_Smp_L2C1DCMless10m_B","O-Acetylcarnitine",701728
"28","180205_Smp_L2C1DCMless10m_C","O-Acetylcarnitine",786006
"29","180205_Smp_L2C1DCMless20m_A","O-Acetylcarnitine",738849
"30","180205_Smp_L2C1DCMless20m_B","O-Acetylcarnitine",921469
"31","180205_Smp_L2C1DCMless20m_C","O-Acetylcarnitine",522362
"32","180205_Smp_L2C2DCM_A","O-Acetylcarnitine",946148
"33","180205_Smp_L2C2DCM_B","O-Acetylcarnitine",1946813
"34","180205_Smp_L2C2DCM_C","O-Acetylcarnitine",1022964
"35","180205_Smp_L2C2DCMplus10m_A","O-Acetylcarnitine",1475500
"36","180205_Smp_L2C2DCMplus10m_B","O-Acetylcarnitine",1796368
"37","180205_Smp_L2C2DCMplus10m_C","O-Acetylcarnitine",1466891
"38","180205_Smp_L2C2DCMplus20m_A","O-Acetylcarnitine",2199803
"39","180205_Smp_L2C2DCMplus20m_B","O-Acetylcarnitine",2320291
"40","180205_Smp_L2C2DCMplus20m_C","O-Acetylcarnitine",1718229
"41","180205_Poo_Sept29QC_1","Adenine",5384870
"42","180205_Poo_Sept29QC_2","Adenine",4589690
"43","180205_Poo_Sept29QC_3","Adenine",4511453
"44","180205_Poo_Sept29QC_4","Adenine",4473828
"45","180205_Poo_TruePoo_Full1","Adenine",10861110
"46","180205_Poo_TruePoo_Full2","Adenine",9408765
"47","180205_Poo_TruePoo_Full3","Adenine",9969343
"48","180205_Poo_TruePoo_Half1","Adenine",4990870
"49","180205_Poo_TruePoo_Half2","Adenine",4548084
"50","180205_Poo_TruePoo_Half3","Adenine",4820204
"51","180205_Smp_L1C32DCMless10m_A","Adenine",7011516
"52","180205_Smp_L1C32DCMless10m_B","Adenine",8274041
"53","180205_Smp_L1C32DCMless10m_C","Adenine",9189928
"54","180205_Smp_L1C32DCMless20m_A","Adenine",10633365
"55","180205_Smp_L1C32DCMless20m_B","Adenine",10347923
"56","180205_Smp_L1C32DCMless20m_C","Adenine",9722856
"57","180205_Smp_L1C33DCM_A","Adenine",7596870
"58","180205_Smp_L1C33DCM_B","Adenine",9738111
"59","180205_Smp_L1C33DCM_C","Adenine",10341245
"60","180205_Smp_L1C33DCMplus10m_A","Adenine",12056979
"61","180205_Smp_L1C33DCMplus10m_B","Adenine",7950584
"62","180205_Smp_L1C33DCMplus10m_C","Adenine",5503881
"63","180205_Smp_L1C33DCMplus20m_A","Adenine",6510352
"64","180205_Smp_L1C33DCMplus20m_B","Adenine",5215620
"65","180205_Smp_L1C33DCMplus20m_C","Adenine",4790499
"66","180205_Smp_L2C1DCMless10m_A","Adenine",7263946
"67","180205_Smp_L2C1DCMless10m_B","Adenine",8549362
"68","180205_Smp_L2C1DCMless10m_C","Adenine",7294484
"69","180205_Smp_L2C1DCMless20m_A","Adenine",9864875
"70","180205_Smp_L2C1DCMless20m_B","Adenine",10560238
