"Precursor.Ion.Name","Replicate.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","Column"
"O-Acetylcarnitine","180205_Std_4uMStdsInH2O_1",7.46,3183409408,36679612,132830464,-2.8,"HILICpos"
"O-Acetylcarnitine","180205_Std_4uMStdsInH2O_2",7.36,2638594304,31567094,109837736,-3.3,"HILICpos"
"O-Acetylcarnitine","180205_Std_4uMStdsInMatrix_1",7.45,2546998784,33088796,110455528,-2.5,"HILICpos"
"O-Acetylcarnitine","180205_Std_4uMStdsInMatrix_2",7.38,2584742912,30016288,111946136,-3.5,"HILICpos"
"O-Acetylcarnitine","180205_Blk_MQBlk_1",7.16,29775,173480,8854,3.6,"HILICpos"
"O-Acetylcarnitine","180205_Blk_MQBlk_2",7.36,99070,225491,18792,3.4,"HILICpos"
"O-Acetylcarnitine","180205_Blk_MQBlk_3",7.23,98028,323145,13507,3.8,"HILICpos"
"O-Acetylcarnitine","180205_Blk_SWBlk_1",7.46,852937,958718,33177,0.2,"HILICpos"
"O-Acetylcarnitine","180205_Blk_SWBlk_2",7.17,23590,192214,5432,3.8,"HILICpos"
"O-Acetylcarnitine","180205_Blk_SWBlk_3",7.26,41062,185546,8025,3.4,"HILICpos"
"O-Acetylcarnitine","180205_Poo_Sept29QC_1",7.42,9235865,1271455,474214,-1.8,"HILICpos"
"O-Acetylcarnitine","180205_Poo_Sept29QC_2",7.45,7620397,1729707,398706,-1.9,"HILICpos"
"O-Acetylcarnitine","180205_Poo_Sept29QC_3",7.46,7714257,1143670,400905,-2.4,"HILICpos"
"O-Acetylcarnitine","180205_Poo_Sept29QC_4",7.47,7936353,1174848,397787,-2.4,"HILICpos"
"O-Acetylcarnitine","180205_Poo_TruePoo_Full1",7.46,23280266,973191,1022641,-2.1,"HILICpos"
"O-Acetylcarnitine","180205_Poo_TruePoo_Full2",7.5,22073188,1906852,1028565,-2.1,"HILICpos"
"O-Acetylcarnitine","180205_Poo_TruePoo_Full3",7.46,22741946,1164434,1004886,-2.7,"HILICpos"
"O-Acetylcarnitine","180205_Poo_TruePoo_Half1",7.46,12621929,1127932,506056,-1.8,"HILICpos"
"O-Acetylcarnitine","180205_Poo_TruePoo_Half2",7.48,10822460,2347888,488494,-1.9,"HILICpos"
"O-Acetylcarnitine","180205_Poo_TruePoo_Half3",7.4,11224949,855786,497777,-2.3,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C32DCMless10m_A",7.53,18193688,1039012,841348,-2.1,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C32DCMless10m_B",7.46,17119876,1086490,817585,-1.9,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C32DCMless10m_C",7.41,23137940,288879,995143,-2.4,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C32DCMless20m_A",7.45,14169928,977119,639687,-2,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C32DCMless20m_B",7.47,31756450,0,1427746,-2.3,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C32DCMless20m_C",7.41,28675170,0,1304700,-2.3,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C33DCM_A",7.47,16532565,1061327,821392,-2.2,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C33DCM_B",7.44,38313512,230631,1707052,-2,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C33DCM_C",7.46,13739341,935257,603890,-2.5,"HILICpos"
"O-Acetylcarnitine","180205_Smp_L1C33DCMplus10m_A",7.48,18834128,1191467,860165,-2.1,"HILICpos"
