"Mass.Feature","FinalBMIS","Orig_RSD","FinalRSD","runDate","type","SampID","replicate","Area.with.QC","MIS","Adjusted.Area","Run.Cmpd"
"(3-Carboxypropyl)trimethylammonium","Inj_vol",0.147294780014496,0.147294780014496,"180821","Poo","Day1and2Poo","Full1",52100340,"Inj_vol",50819184.0983607,"180821_Poo_Day1and2Poo_Full1 (3-Carboxypropyl)trimethylammonium"
"(3-Carboxypropyl)trimethylammonium","Inj_vol",0.147294780014496,0.147294780014496,"180821","Poo","Day1and2Poo","Full2",39581728,"Inj_vol",38608406.8196721,"180821_Poo_Day1and2Poo_Full2 (3-Carboxypropyl)trimethylammonium"
"(3-Carboxypropyl)trimethylammonium","Inj_vol",0.147294780014496,0.147294780014496,"180821","Poo","Day1and2Poo","Full3",55869688,"Inj_vol",54495843.2131148,"180821_Poo_Day1and2Poo_Full3 (3-Carboxypropyl)trimethylammonium"
"(3-Carboxypropyl)trimethylammonium","Inj_vol",0.147294780014496,0.147294780014496,"180821","Poo","Day1and2Poo","Full4",63632484,"Inj_vol",62067750.7868852,"180821_Poo_Day1and2Poo_Full4 (3-Carboxypropyl)trimethylammonium"
"(3-Carboxypropyl)trimethylammonium","Inj_vol",0.147294780014496,0.147294780014496,"180821","Poo","Day1and2Poo","Full5",64080196,"Inj_vol",62504453.4754098,"180821_Poo_Day1and2Poo_Full5 (3-Carboxypropyl)trimethylammonium"
"(3-Carboxypropyl)trimethylammonium","Inj_vol",0.147294780014496,0.147294780014496,"180821","Poo","Day1and2Poo","Full6",68660816,"Inj_vol",66972435.2786885,"180821_Poo_Day1and2Poo_Full6 (3-Carboxypropyl)trimethylammonium"
"(3-Carboxypropyl)trimethylammonium","Inj_vol",0.147294780014496,0.147294780014496,"180821","Poo","Day1and2Poo","Half1",27779714,"Inj_vol",54193212.557377,"180821_Poo_Day1and2Poo_Half1 (3-Carboxypropyl)trimethylammonium"
"(3-Carboxypropyl)trimethylammonium","Inj_vol",0.147294780014496,0.147294780014496,"180821","Poo","Day1and2Poo","Half2",21481762,"Inj_vol",41907043.9016393,"180821_Poo_Day1and2Poo_Half2 (3-Carboxypropyl)trimethylammonium"
"(3-Carboxypropyl)trimethylammonium","Inj_vol",0.147294780014496,0.147294780014496,"180821","Poo","Day1and2Poo","Half3",29578770,"Inj_vol",57702846.3934426,"180821_Poo_Day1and2Poo_Half3 (3-Carboxypropyl)trimethylammonium"
"(3-Carboxypropyl)trimethylammonium","Inj_vol",0.147294780014496,0.147294780014496,"180821","Poo","Day1and2Poo","Half4",32788278,"Inj_vol",63964017.7377049,"180821_Poo_Day1and2Poo_Half4 (3-Carboxypropyl)trimethylammonium"
"(3-Carboxypropyl)trimethylammonium","Inj_vol",0.147294780014496,0.147294780014496,"180821","Poo","Day1and2Poo","Half5",33387810,"Inj_vol",65133596.557377,"180821_Poo_Day1and2Poo_Half5 (3-Carboxypropyl)trimethylammonium"
"(3-Carboxypropyl)trimethylammonium","Inj_vol",0.147294780014496,0.147294780014496,"180821","Poo","Day1and2Poo","Half6",34290664,"Inj_vol",66894901.9016393,"180821_Poo_Day1and2Poo_Half6 (3-Carboxypropyl)trimethylammonium"
"(3-Carboxypropyl)trimethylammonium","Inj_vol",0.147294780014496,0.147294780014496,"180821","Poo","Day1Poo","DDApos20",44911204,"Inj_vol",43806830.1311475,"180821_Poo_Day1Poo_DDApos20 (3-Carboxypropyl)trimethylammonium"
