"Metabolite.Name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"Urocanic acid",0.00335846954201628,0.00100485520412095,0.0668502593702328,0.0201508172520977,0.00602913122472572,0.401101556221397,0.0000100681199720324,0.00000394422835664478,0.000191782933514434
"Uridine",0.0101532784125007,0.00029191950289761,2.99322350444561,0.0913795057125061,0.00262727552607849,26.9390115400105,0.0000385176597879336,0.00000135171195215788,0.0110632198920388
"Uracil",0.0769474550280116,0.0369770074675815,0.22240549235037,0.307789820112046,0.147908029870326,0.88962196940148,0.000146409510887232,0.0000264081904768569,0.000694139916680799
"UDP-N-acetylglucosamine",0.00322845037292506,0.000963430419614639,0.0266555400757387,0.0548836563397261,0.0163783171334489,0.453144181287558,0.0000265340088739516,0.00000622932904304202,0.000231407766982386
"Turicine",0.0174556750600266,0.00268278316397217,0.0521018580789779,0.122189725420186,0.0187794821478052,0.364713006552845,0.0000597405255607758,0.000011398132633371,0.000149779073481889
"Trimethylamine N-oxide",2.23804508929604,0.36019408414368,26.843321942217,6.71413526788812,1.08058225243104,80.529965826651,0.00351596574238784,0.000504022972346582,0.0411243492394919
"Trigonelline",0.036603136206771,0.00870331069971111,0.190680977237849,0.256221953447397,0.0609231748979778,1.33476684066494,0.00013281694643744,0.0000328543232834661,0.000681627232115778
"Thymine",0.04532587457904,0.00652139940539981,0.137013276853097,0.2266293728952,0.032606997026999,0.685066384265486,0.000112140161259476,0.0000251536119269194,0.000289208224304997
"Thymidine",0.00177060672098287,0.00043816211048288,0.0364242401438661,0.0177060672098287,0.0043816211048288,0.364242401438661,0.00000712128780643091,0.00000180988328973404,0.000148865744600279
"Taurine",0.46039713182933,0.0535893131114958,21.7701749841468,0.92079426365866,0.107178626222992,43.5403499682936,0.000413768914325848,0.000100184113965909,0.0169983044236176
"Sulfolactic Acid",0.973544147419294,0.155316641979527,3.61177458409225,2.92063244225788,0.465949925938582,10.8353237522767,0.00134744779129717,0.0000830723428086159,0.00471455349413909
"Sulfoacetic acid",0.00773678750859056,0.00138590765372064,0.0257726993621189,0.0154735750171811,0.00277181530744129,0.0515453987242378,0.00000320786401025552,0.00000157277001931483,0.000016640932503947
"Sucrose",0.201642645613463,0.00173281867810002,0.737364288784625,2.41971174736155,0.0207938241372002,8.84837146541549,0.000769759080933211,0.00002084972984313,0.00451861011747848
"Succinic semialdehyde",0.000109143316107339,0.000024951318470944,0.000477115712573389,0.000436573264429355,0.0000998052738837759,0.00190846285029356,0.000000200973440524417,0.0000000368266962501266,0.00000289086636082198
"Succinic acid",0.0879101810129022,0.0428585729331911,0.137616045078096,0.351640724051609,0.171434291732764,0.550464180312385,0.000175929801187905,0.0000414448965297035,0.000833822037173921
"Sodium 2-mercaptoethanesulfonate",0.0937665793350925,0.0012190541063842,0.410056773742145,0.187533158670185,0.00243810821276841,0.82011354748429,0.0000865695947555669,0.00000148435868934335,0.000874383808467615
"Shikimic acid",0.00584136573293243,0.00103224417351714,0.205045135468987,0.040889560130527,0.00722570921461996,1.43531594828291,0.0000228867540985038,0.00000141223764131654,0.00125000796748382
"Sarcosine",0.066884731326293,0.00976933049118224,0.29209026547946,0.200654193978879,0.0293079914735467,0.87627079643838,0.0000946813086473186,0.0000237493962456028,0.000358131574105731
"Salicylic acid",0.00139798070021871,0.000239314141154417,0.0105537592303165,0.00978586490153095,0.00167519898808092,0.0738763146122152,0.00000500039467520593,0.00000080079943793881,0.0000611625719915517
"S-Adenosylmethionine",0.00102677004088508,0.000045660404930762,0.0291398544449253,0.0154015506132762,0.00068490607396143,0.437097816673879,0.00000704532004967212,0.000000454382543499507,0.000285399594810434
"S-Adenosylhomocysteine",0.002949051396181,0.00031260376011901,0.0322233917820929,0.041286719546534,0.00437645264166615,0.451127484949301,0.0000210173583716449,0.00000183251813806566,0.000263069673086529
"Proline betaine",0.0164811790365314,0.00346267387766359,0.0577301994925343,0.11536825325572,0.0242387171436451,0.40411139644774,0.0000588673759845367,0.0000103302680997002,0.000206368126803249
"Phosphoenolpyruvic acid",0.0100129974546646,0.00416375536749305,0.021906458026349,0.0300389923639937,0.0124912661024791,0.0657193740790469,0.0000131980840263884,0.00000767912636038147,0.0000924744878235464
"Oxalic acid",0.0997475423616957,0.0172293266318049,1.06605431513802,0.199495084723391,0.0344586532636098,2.13210863027604,0.000113102552924956,0.00000457945116817793,0.00239444006046147
"Orotic acid",0.000187070573447017,0.00000930011364332121,0.00344459649597286,0.000935352867235085,0.000046500568216606,0.0172229824798643,0.000000450560683296806,0.0000000256775204158972,0.00000913249665347296
"Ophthalmic acid",0.000673871322576634,0.0000510551070277776,0.00462370086223921,0.00741258454834298,0.000561606177305554,0.0508607094846313,0.00000294087208379982,0.000000218283290178202,0.000029068423902918
"O-Propionylcarnitine",0.000887552968324297,0.000211273018879026,0.00282462360318376,0.00887552968324297,0.00211273018879026,0.0282462360318376,0.00000512812987817216,0.00000100759831107219,0.0000110012265696033
"O-Methylmalonyl-L-carnitine",0.00000757659545220115,0.00000258838441919089,0.00119167866376298,0.0000833425499742126,0.0000284722286110998,0.0131084653013927,0.0000000624753984988649,0.0000000168770775967463,0.00000626768929309668
"O-Acetylcarnitine",0.00445719323713593,0.00132076541872432,0.0186688258702473,0.0401147391342234,0.0118868887685189,0.168019432832226,0.0000184601285172143,0.0000048536962450712,0.00013910413250205
"Nicotinic acid",0.0201485068026402,0.00153822328280158,0.0539850930528228,0.120891040815841,0.00922933969680949,0.323910558316937,0.0000648163540594262,0.0000119806349718408,0.000175184970986891
