Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Standards_neg,180205_Std_4uMStdsInH2O_1,AMP,11.78,22138450,0,1585166,2.6,Standards_neg
Standards_neg,180205_Std_4uMStdsInH2O_2,AMP,11.95,16235408,0,660153,2.2,Standards_neg
Standards_neg,180205_Std_4uMStdsInMatrix_1,AMP,11.82,20120778,50803,1166350,2.9,Standards_neg
Standards_neg,180205_Std_4uMStdsInMatrix_2,AMP,12.05,15217605,0,500886,2.4,Standards_neg
Standards_neg,180205_Blk_MQBlk_1,AMP,11.82,0,0,0,#N/A,Standards_neg
Standards_neg,180205_Blk_MQBlk_2,AMP,11.95,0,0,0,#N/A,Standards_neg
Standards_neg,180205_Blk_MQBlk_3,AMP,11.67,0,0,0,#N/A,Standards_neg
Standards_neg,180205_Blk_SWBlk_1,AMP,11.58,0,0,0,#N/A,Standards_neg
Standards_neg,180205_Blk_SWBlk_2,AMP,11.81,0,0,0,#N/A,Standards_neg
Standards_neg,180205_Blk_SWBlk_3,AMP,11.84,0,0,0,#N/A,Standards_neg
Standards_neg,180205_Poo_Sept29QC_1,AMP,11.91,1130389,0,124728,2.8,Standards_neg
Standards_neg,180205_Poo_Sept29QC_2,AMP,11.64,0,0,0,#N/A,Standards_neg
Standards_neg,180205_Poo_Sept29QC_3,AMP,11.7,0,0,0,#N/A,Standards_neg
Standards_neg,180205_Poo_Sept29QC_4,AMP,11.43,0,0,0,#N/A,Standards_neg
Standards_neg,180205_Poo_TruePoo_Full1,AMP,12.13,2983024,0,161784,3,Standards_neg
Standards_neg,180205_Poo_TruePoo_Full2,AMP,12.54,547411,0,69225,2.2,Standards_neg
Standards_neg,180205_Poo_TruePoo_Full3,AMP,12.42,935522,0,73919,1.9,Standards_neg
Standards_neg,180205_Poo_TruePoo_Half1,AMP,11.9,896827,0,84547,2.1,Standards_neg
Standards_neg,180205_Poo_TruePoo_Half2,AMP,12.01,53494,0,35897,5.8,Standards_neg
Standards_neg,180205_Poo_TruePoo_Half3,AMP,12.22,155428,0,59472,0.3,Standards_neg
Standards_neg,180205_Smp_L1C32DCMless10m_A,AMP,12.45,4480986,0,193392,3.3,Standards_neg
Standards_neg,180205_Smp_L1C32DCMless10m_B,AMP,12.27,1203383,0,84108,1.4,Standards_neg
Standards_neg,180205_Smp_L1C32DCMless10m_C,AMP,12.36,2311296,0,104343,2.6,Standards_neg
Standards_neg,180205_Smp_L1C32DCMless20m_A,AMP,12.57,1517113,0,119438,2.3,Standards_neg
Standards_neg,180205_Smp_L1C32DCMless20m_B,AMP,12.45,2822042,0,158189,2.7,Standards_neg
Standards_neg,180205_Smp_L1C32DCMless20m_C,AMP,12.33,4044892,0,166378,2.6,Standards_neg
Standards_neg,180205_Smp_L1C33DCM_A,AMP,12.44,999099,0,83703,1.9,Standards_neg
Standards_neg,180205_Smp_L1C33DCM_B,AMP,12.52,1990371,0,119448,3,Standards_neg
Standards_neg,180205_Smp_L1C33DCM_C,AMP,12.21,1465205,0,75605,2,Standards_neg
Standards_neg,180205_Smp_L1C33DCMplus10m_A,AMP,12.37,3250114,0,162727,2.8,Standards_neg
Standards_neg,180205_Smp_L1C33DCMplus10m_B,AMP,12.42,1342140,0,93751,2.3,Standards_neg
Standards_neg,180205_Smp_L1C33DCMplus10m_C,AMP,12.33,1872935,0,100708,2.4,Standards_neg
Standards_neg,180205_Smp_L1C33DCMplus20m_A,AMP,12.62,185291,0,55802,3.1,Standards_neg
Standards_neg,180205_Smp_L1C33DCMplus20m_B,AMP,12.27,550014,0,63981,3.6,Standards_neg
Standards_neg,180205_Smp_L1C33DCMplus20m_C,AMP,12.22,646640,0,78552,2.2,Standards_neg
Standards_neg,180205_Smp_L2C1DCMless10m_A,AMP,12.67,457309,0,55112,2.5,Standards_neg
Standards_neg,180205_Smp_L2C1DCMless10m_B,AMP,12.54,248492,0,58217,1.3,Standards_neg
Standards_neg,180205_Smp_L2C1DCMless10m_C,AMP,12.31,352462,0,36611,1.4,Standards_neg
Standards_neg,180205_Smp_L2C1DCMless20m_A,AMP,12.16,2719366,0,158576,2.6,Standards_neg
Standards_neg,180205_Smp_L2C1DCMless20m_B,AMP,12.18,679977,0,65639,1.9,Standards_neg
Standards_neg,180205_Smp_L2C1DCMless20m_C,AMP,12.09,302922,0,60190,1.5,Standards_neg
Standards_neg,180205_Smp_L2C2DCM_A,AMP,12.57,318524,0,66664,1,Standards_neg
Standards_neg,180205_Smp_L2C2DCM_B,AMP,12.45,1301296,0,69409,2.7,Standards_neg
Standards_neg,180205_Smp_L2C2DCM_C,AMP,12.45,1033290,0,76954,1.2,Standards_neg
Standards_neg,180205_Smp_L2C2DCMplus10m_A,AMP,12.15,885110,0,71499,3,Standards_neg
