Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Standards_pos,180205_Std_4uMStdsInH2O_1,Acetyl-L-carnitine,7.46,3183409408,36679612,132830464,-2.8,Standards_pos
Standards_pos,180205_Std_4uMStdsInH2O_2,Acetyl-L-carnitine,7.36,2638594304,31567094,109837736,-3.3,Standards_pos
Standards_pos,180205_Std_4uMStdsInMatrix_1,Acetyl-L-carnitine,7.45,2546998784,33088796,110455528,-2.5,Standards_pos
Standards_pos,180205_Std_4uMStdsInMatrix_2,Acetyl-L-carnitine,7.38,2584742912,30016288,111946136,-3.5,Standards_pos
Standards_pos,180205_Blk_MQBlk_1,Acetyl-L-carnitine,7.16,29775,173480,8854,3.6,Standards_pos
Standards_pos,180205_Blk_MQBlk_2,Acetyl-L-carnitine,7.36,99070,225491,18792,3.4,Standards_pos
Standards_pos,180205_Blk_MQBlk_3,Acetyl-L-carnitine,7.23,98028,323145,13507,3.8,Standards_pos
Standards_pos,180205_Blk_SWBlk_1,Acetyl-L-carnitine,7.46,852937,958718,33177,0.2,Standards_pos
Standards_pos,180205_Blk_SWBlk_2,Acetyl-L-carnitine,7.17,23590,192214,5432,3.8,Standards_pos
Standards_pos,180205_Blk_SWBlk_3,Acetyl-L-carnitine,7.26,41062,185546,8025,3.4,Standards_pos
Standards_pos,180205_Poo_Sept29QC_1,Acetyl-L-carnitine,7.42,9235865,1271455,474214,-1.8,Standards_pos
Standards_pos,180205_Poo_Sept29QC_2,Acetyl-L-carnitine,7.45,7620397,1729707,398706,-1.9,Standards_pos
Standards_pos,180205_Poo_Sept29QC_3,Acetyl-L-carnitine,7.46,7714257,1143670,400905,-2.4,Standards_pos
Standards_pos,180205_Poo_Sept29QC_4,Acetyl-L-carnitine,7.47,7936353,1174848,397787,-2.4,Standards_pos
Standards_pos,180205_Poo_TruePoo_Full1,Acetyl-L-carnitine,7.46,23280266,973191,1022641,-2.1,Standards_pos
Standards_pos,180205_Poo_TruePoo_Full2,Acetyl-L-carnitine,7.5,22073188,1906852,1028565,-2.1,Standards_pos
Standards_pos,180205_Poo_TruePoo_Full3,Acetyl-L-carnitine,7.46,22741946,1164434,1004886,-2.7,Standards_pos
Standards_pos,180205_Poo_TruePoo_Half1,Acetyl-L-carnitine,7.46,12621929,1127932,506056,-1.8,Standards_pos
Standards_pos,180205_Poo_TruePoo_Half2,Acetyl-L-carnitine,7.48,10822460,2347888,488494,-1.9,Standards_pos
Standards_pos,180205_Poo_TruePoo_Half3,Acetyl-L-carnitine,7.4,11224949,855786,497777,-2.3,Standards_pos
Standards_pos,180205_Smp_L1C32DCMless10m_A,Acetyl-L-carnitine,7.53,18193688,1039012,841348,-2.1,Standards_pos
Standards_pos,180205_Smp_L1C32DCMless10m_B,Acetyl-L-carnitine,7.46,17119876,1086490,817585,-1.9,Standards_pos
Standards_pos,180205_Smp_L1C32DCMless10m_C,Acetyl-L-carnitine,7.41,23137940,288879,995143,-2.4,Standards_pos
Standards_pos,180205_Smp_L1C32DCMless20m_A,Acetyl-L-carnitine,7.45,14169928,977119,639687,-2,Standards_pos
Standards_pos,180205_Smp_L1C32DCMless20m_B,Acetyl-L-carnitine,7.47,31756450,0,1427746,-2.3,Standards_pos
Standards_pos,180205_Smp_L1C32DCMless20m_C,Acetyl-L-carnitine,7.41,28675170,0,1304700,-2.3,Standards_pos
Standards_pos,180205_Smp_L1C33DCM_A,Acetyl-L-carnitine,7.47,16532565,1061327,821392,-2.2,Standards_pos
Standards_pos,180205_Smp_L1C33DCM_B,Acetyl-L-carnitine,7.44,38313512,230631,1707052,-2,Standards_pos
Standards_pos,180205_Smp_L1C33DCM_C,Acetyl-L-carnitine,7.46,13739341,935257,603890,-2.5,Standards_pos
Standards_pos,180205_Smp_L1C33DCMplus10m_A,Acetyl-L-carnitine,7.48,18834128,1191467,860165,-2.1,Standards_pos
Standards_pos,180205_Smp_L1C33DCMplus10m_B,Acetyl-L-carnitine,7.47,26547740,87990,1234482,-2.2,Standards_pos
Standards_pos,180205_Smp_L1C33DCMplus10m_C,Acetyl-L-carnitine,7.41,20711856,865330,925942,-2.4,Standards_pos
Standards_pos,180205_Smp_L1C33DCMplus20m_A,Acetyl-L-carnitine,7.49,17166394,1318299,852530,-2.1,Standards_pos
Standards_pos,180205_Smp_L1C33DCMplus20m_B,Acetyl-L-carnitine,7.47,16018757,1106340,844393,-2.2,Standards_pos
Standards_pos,180205_Smp_L1C33DCMplus20m_C,Acetyl-L-carnitine,7.46,18409270,866459,832437,-2.2,Standards_pos
Standards_pos,180205_Smp_L2C1DCMless10m_A,Acetyl-L-carnitine,7.49,23089018,1915704,1088790,-2,Standards_pos
Standards_pos,180205_Smp_L2C1DCMless10m_B,Acetyl-L-carnitine,7.49,15387718,1126190,701728,-2.1,Standards_pos
Standards_pos,180205_Smp_L2C1DCMless10m_C,Acetyl-L-carnitine,7.4,15480859,1426721,786006,-2.6,Standards_pos
Standards_pos,180205_Smp_L2C1DCMless20m_A,Acetyl-L-carnitine,7.49,14747925,1442320,738849,-2,Standards_pos
Standards_pos,180205_Smp_L2C1DCMless20m_B,Acetyl-L-carnitine,7.49,18900688,1122887,921469,-2,Standards_pos
Standards_pos,180205_Smp_L2C1DCMless20m_C,Acetyl-L-carnitine,7.44,10568190,1100077,522362,-2.6,Standards_pos
Standards_pos,180205_Smp_L2C2DCM_A,Acetyl-L-carnitine,7.49,21033002,976719,946148,-2.7,Standards_pos
Standards_pos,180205_Smp_L2C2DCM_B,Acetyl-L-carnitine,7.49,40176072,0,1946813,-2.3,Standards_pos
Standards_pos,180205_Smp_L2C2DCM_C,Acetyl-L-carnitine,7.43,25004206,18901,1022964,-2,Standards_pos
Standards_pos,180205_Smp_L2C2DCMplus10m_A,Acetyl-L-carnitine,7.48,29736718,1188228,1475500,-2,Standards_pos
Standards_pos,180205_Smp_L2C2DCMplus10m_B,Acetyl-L-carnitine,7.47,36174288,2067153,1796368,-1.9,Standards_pos
