Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Standards_pos,190715_Std_4uMStdsMix1InH2O_1,Acetyl-L-carnitine,6.36,1741350528,37670360,69521936,-2.8,Standards_pos
Standards_pos,190715_Std_4uMStdsMix1InH2O_2,Acetyl-L-carnitine,6.56,1777506176,33396888,77769840,-2.9,Standards_pos
Standards_pos,190715_Std_4uMStdsMix1InMatrix_1,Acetyl-L-carnitine,6.37,1684918784,35379916,67601512,-2.9,Standards_pos
Standards_pos,190715_Std_4uMStdsMix1InMatrix_2,Acetyl-L-carnitine,6.58,1721610240,38494828,77571232,-2.6,Standards_pos
Standards_pos,190715_Std_4uMStdsMix2InH2O_1,Acetyl-L-carnitine,5.98,1200397,8080690,51464,-1.9,Standards_pos
Standards_pos,190715_Std_4uMStdsMix2InH2O_2,Acetyl-L-carnitine,6.01,1740825,6905474,60079,-1.7,Standards_pos
Standards_pos,190715_Std_4uMStdsMix2InMatrix_1,Acetyl-L-carnitine,6.43,6583100,5284114,259363,-2.3,Standards_pos
Standards_pos,190715_Std_4uMStdsMix2InMatrix_2,Acetyl-L-carnitine,6.56,4489842,4220753,250460,-2.3,Standards_pos
Standards_pos,190715_Std_H2OinMatrix_1,Acetyl-L-carnitine,6.39,5508981,5554117,253026,-2.1,Standards_pos
Standards_pos,190715_Std_H2OinMatrix_2,Acetyl-L-carnitine,6.53,4330773,8105645,218511,-2,Standards_pos
Standards_pos,170706_Blk_Blk0p2_1,Acetyl-L-carnitine,5.97,1308672,544343,304429,4.6,Standards_pos
Standards_pos,170706_Blk_Blk0p2_2,Acetyl-L-carnitine,6.32,2164176,2877112,677853,5.2,Standards_pos
Standards_pos,190715_Blk_KM1906U14-Blk_C,Acetyl-L-carnitine,6.5,11477529,6817580,501575,-2.5,Standards_pos
Standards_pos,190715_Poo_TruePooFK180310_Full1,Acetyl-L-carnitine,5.51,14832791,10862099,502620,-1.5,Standards_pos
Standards_pos,190715_Poo_TruePooFK180310_Full2,Acetyl-L-carnitine,5.66,13374363,9611086,463516,-1.6,Standards_pos
Standards_pos,190715_Poo_TruePooFK180310_Full3,Acetyl-L-carnitine,5.67,19631280,8862080,739891,-1.4,Standards_pos
Standards_pos,190715_Poo_TruePooFK180310_Half1,Acetyl-L-carnitine,6.63,8002996,5236334,292997,-1.2,Standards_pos
Standards_pos,190715_Poo_TruePooFK180310_Half2,Acetyl-L-carnitine,5.6,6694854,6036051,289042,-1.9,Standards_pos
Standards_pos,190715_Poo_TruePooFK180310_Half3,Acetyl-L-carnitine,5.57,8320122,7719868,279809,-1.4,Standards_pos
Standards_pos,190715_Smp_FK180310S62C1-25m_A,Acetyl-L-carnitine,5.64,12757581,9351643,448291,-1.5,Standards_pos
Standards_pos,190715_Smp_FK180310S62C1-25m_B,Acetyl-L-carnitine,5.57,10733605,11092170,400461,-1.9,Standards_pos
Standards_pos,190715_Smp_FK180310S62C1-25m_C,Acetyl-L-carnitine,5.56,36251112,2744869,1443796,-1.7,Standards_pos
Standards_pos,190715_Smp_FK180310S62C1-DCM_A,Acetyl-L-carnitine,5.64,5767417,9134533,197046,-1.1,Standards_pos
Standards_pos,190715_Smp_FK180310S62C1-DCM_B,Acetyl-L-carnitine,5.57,21908948,7504917,811065,-1.6,Standards_pos
Standards_pos,190715_Smp_FK180310S62C1-DCM_C,Acetyl-L-carnitine,5.54,10708038,6929661,476908,-2.1,Standards_pos
Standards_pos,190715_Smp_FK180310S64C1-25m_A,Acetyl-L-carnitine,5.58,14361362,7893074,460324,-2.3,Standards_pos
Standards_pos,190715_Smp_FK180310S64C1-25m_B,Acetyl-L-carnitine,5.62,8389759,9272242,308651,-1.5,Standards_pos
Standards_pos,190715_Smp_FK180310S64C1-25m_C,Acetyl-L-carnitine,5.6,22026100,5829750,856312,-1.5,Standards_pos
Standards_pos,190715_Smp_FK180310S64C1-DCM_A,Acetyl-L-carnitine,5.59,6280325,8005670,205369,-1.4,Standards_pos
Standards_pos,190715_Smp_FK180310S64C1-DCM_B,Acetyl-L-carnitine,5.61,12152048,7933716,429064,-1.7,Standards_pos
Standards_pos,190715_Smp_FK180310S64C1-DCM_C,Acetyl-L-carnitine,5.54,12333545,8126568,441273,-2.2,Standards_pos
Standards_pos,190715_Smp_FK180310S77C1-25m_A,Acetyl-L-carnitine,5.59,16072761,8468013,584801,-2.5,Standards_pos
Standards_pos,190715_Smp_FK180310S77C1-25m_B,Acetyl-L-carnitine,5.63,6393186,6263517,217700,-1.8,Standards_pos
Standards_pos,190715_Smp_FK180310S77C1-25m_C,Acetyl-L-carnitine,5.61,6145941,6969264,241976,-1.7,Standards_pos
Standards_pos,190715_Smp_FK180310S77C1-DCM_A,Acetyl-L-carnitine,5.64,14308056,11277640,505703,-1.8,Standards_pos
Standards_pos,190715_Smp_FK180310S77C1-DCM_B,Acetyl-L-carnitine,5.67,14406473,10534270,493430,-1.7,Standards_pos
Standards_pos,190715_Smp_FK180310S77C1-DCM_C,Acetyl-L-carnitine,5.73,23147550,9629661,798205,-2.2,Standards_pos
Standards_pos,190715_Smp_FK180310S80C1-25m_A,Acetyl-L-carnitine,5.62,8152884,7819938,278045,-2.4,Standards_pos
Standards_pos,190715_Smp_FK180310S80C1-25m_B,Acetyl-L-carnitine,5.57,9263166,7612782,469153,-1.3,Standards_pos
Standards_pos,190715_Smp_FK180310S80C1-25m_C,Acetyl-L-carnitine,5.55,42351844,10348916,1651087,-1.6,Standards_pos
Standards_pos,190715_Smp_FK180310S80C1-DCM_A,Acetyl-L-carnitine,5.52,7832847,9188648,288867,-1.8,Standards_pos
Standards_pos,190715_Smp_FK180310S80C1-DCM_B,Acetyl-L-carnitine,5.63,15288009,11794840,522029,-2.1,Standards_pos
Standards_pos,190715_Smp_FK180310S80C1-DCM_C,Acetyl-L-carnitine,5.63,15073967,9715732,458374,-1.6,Standards_pos
Standards_pos,190715_Std_4uMStdsMix1InH2O_1,Adenine,4.14,2282483712,27096928,114108848,-4.3,Standards_pos
Standards_pos,190715_Std_4uMStdsMix1InH2O_2,Adenine,4.21,2192115712,21244670,105269136,-4.3,Standards_pos
Standards_pos,190715_Std_4uMStdsMix1InMatrix_1,Adenine,4.11,2217245696,69992344,109000496,-4.4,Standards_pos
Standards_pos,190715_Std_4uMStdsMix1InMatrix_2,Adenine,4.22,2398207232,67759432,118783112,-4.2,Standards_pos
Standards_pos,190715_Std_4uMStdsMix2InH2O_1,Adenine,3.84,128092792,20529490,4283483,-3.7,Standards_pos
Standards_pos,190715_Std_4uMStdsMix2InH2O_2,Adenine,3.88,164849328,14940094,4822543,-3.5,Standards_pos
Standards_pos,190715_Std_4uMStdsMix2InMatrix_1,Adenine,4.12,241247888,25076388,8563926,-3.6,Standards_pos
Standards_pos,190715_Std_4uMStdsMix2InMatrix_2,Adenine,4.22,479186880,21764282,19323546,-4,Standards_pos
Standards_pos,190715_Std_H2OinMatrix_1,Adenine,4.12,102338912,19028122,3835182,-3.6,Standards_pos
Standards_pos,190715_Std_H2OinMatrix_2,Adenine,4.22,113667496,3712614,4854092,-3.7,Standards_pos
Standards_pos,170706_Blk_Blk0p2_1,Adenine,4.81,3395978,695977,191953,-3.8,Standards_pos
Standards_pos,170706_Blk_Blk0p2_2,Adenine,4.8,5969591,894254,307234,-2.7,Standards_pos
Standards_pos,190715_Blk_KM1906U14-Blk_C,Adenine,4.16,10463778,1025391,518251,-3.8,Standards_pos
Standards_pos,190715_Poo_TruePooFK180310_Full1,Adenine,3.79,90483928,3905692,5160517,-3,Standards_pos
Standards_pos,190715_Poo_TruePooFK180310_Full2,Adenine,3.84,63390088,2315041,3577497,-3.1,Standards_pos
Standards_pos,190715_Poo_TruePooFK180310_Full3,Adenine,3.83,83426472,2817168,4298588,-2.5,Standards_pos
